Species,mean_recall_Masked,mean_recall_Unmasked_cf,se_recall_Masked,se_recall_Unmasked_cf,n_items_avg_Masked,n_items_avg_Unmasked_cf,gap,rank_score
Pseudomonas aeruginosa,0.7125396825396826,0.7548184049296396,0.08015810152197314,0.030273715756186405,7.6,28.4,0.042278722389957,0.4860941610607907
Staphylococcus aureus,0.45238095238095233,0.537494485080692,0.09700737517839694,0.02740319152927291,6.2,29.8,0.08511353269973965,0.2911326068567447
Deinococcus radiodurans,0.48214285714285715,0.66605858361142,0.059225442684917855,0.02574316681328355,7,30,0.18391572646856286,0.2823252820594311
Escherichia coli,0.4198290598290598,0.5502239169875724,0.0663257775941432,0.00823545300232735,10.6,45.4,0.13039485715851262,0.25476188473278805
Salmonella enterica,0.3653068568858043,0.4904109379072733,0.06677812171743516,0.009970765533915946,15.8,61.2,0.12510408102146903,0.21818357551362225
